time,base_x,base_y,base_z,tau_FL_hip,tau_FL_thigh,tau_FL_calf,tau_FR_hip,tau_FR_thigh,tau_FR_calf,tau_RL_hip,tau_RL_thigh,tau_RL_calf,tau_RR_hip,tau_RR_thigh,tau_RR_calf
3.6719999999997066,-0.015504827824036272,-2.6923930822272135e-05,0.43816698414612576,-6.153364314654576,0.4263135486758127,15.889681902059564,6.18867592311512,0.42470825990490574,15.961959455926827,-6.205806154413773,0.38922092113286244,15.96301896838924,6.245267528111786,0.38700593833957486,16.031844242297307
3.6729999999997065,-0.015504829462190702,-2.6923676432459924e-05,0.438166586864727,-6.154073327323213,0.42629992374726833,15.889671862689381,6.189386378164047,0.424697493376032,15.961949148665713,-6.206522120123435,0.3892293973717572,15.96301834074435,6.2459826911683445,0.38701689760865,16.031845017878112
3.6739999999997064,-0.01550483110330476,-2.692342179767309e-05,0.43816618973602783,-6.154782058653116,0.426286309232671,15.889661826614487,6.190096551465875,0.42468673531153756,15.96193884448503,-6.207237802079276,0.38923787184849107,15.963017711972382,6.246697571061895,0.38702785374639476,16.03184579145675
3.6749999999997063,-0.015504832747367326,-2.692316691839115e-05,0.4381657927599722,-6.155490508755381,0.42627270512037296,15.88965179383425,6.190806443131469,0.424675985701009,15.961928543384685,-6.207953200393126,0.3892463445586736,15.963017082073735,6.247412167903897,0.3870388067494171,16.031846563034108
3.675999999999706,-0.015504834394367303,-2.6922911795092985e-05,0.4381653959365039,-6.156198677741072,0.42625911139867356,15.889641764348097,6.191516053271634,0.4246652445341008,15.961918245364561,-6.208668315176769,0.38925481549801005,15.963016451048727,6.248126481805772,0.3870497566142645,16.031847332611072
3.676999999999706,-0.015504836044293625,-2.692265642825656e-05,0.4381649992655668,-6.1569065657212025,0.426245528055906,15.889631738155435,6.192225381997153,0.4246545118004497,15.961907950424658,-6.20938314654195,0.38926328466213744,15.963015818897718,6.248840512878895,0.38706070333753895,16.031848100188487
3.677999999999706,-0.015504837697135248,-2.6922400818358993e-05,0.4381646027471048,-6.157614172806744,0.42623195508042083,15.889621715255755,6.192934429418752,0.42464378748975595,15.961897658564924,-6.210097694600365,0.389271752046779,15.96301518562108,6.249554261234597,0.38707164691586454,16.031848865767294
3.678999999999706,-0.015504839352881153,-2.6922144965876465e-05,0.4381642063810618,-6.158321499108624,0.4262183924606011,15.88961169564838,6.193643195647122,0.42463307159167457,15.961887369785279,-6.210811959463672,0.3892802176476158,15.963014551219214,6.250267726984165,0.3870825873458361,16.031849629348326
3.6799999999997057,-0.015504841011520349,-2.69218888712844e-05,0.43816381016738176,-6.159028544737728,0.42620484018486243,15.889601679332804,6.194351680792906,0.42462236409592735,15.96187708408569,-6.2115259412434805,0.38928868146039886,15.963013915692452,6.2509809102388445,0.3870935246241121,16.03185039093245
3.6809999999997056,-0.015504842673041868,-2.692163253505731e-05,0.4381634141060086,-6.159735309804897,0.4261912982415844,15.889591666308403,6.1950598849667085,0.4246116649922057,15.961866801466066,-6.212239640051359,0.3892971434808075,15.963013279041132,6.251693811109835,0.3871044587473207,16.031851150520538
